ano,mes,nome_receita,arrecadado
2022,1,Alienação de Bens Móveis e Semoventes - Principal,0.0
2022,1,Aplicação Financeira Bloco Assistência Farmacêutica,0.0
2022,1,Aplicação Financeira Bloco Atenção Básica,46328.14
2022,1,Aplicação Financeira Bloco Atenção de Média e Alta Complexidade Ambulatorial e Hospitalar,10345.26
2022,1,Aplicação Financeira Bloco Gestão do SUS,3.76
2022,1,Aplicação Financeira Bloco Vigilância em Saúde,351.36
2022,1,Aplicação Financeira de Recursos Vinculados Estado Saúde,1581.66
2022,1,Aplicação Financeira de Recursos Vinculados SUS Estado,5513.95
2022,1,Aplicação Financeira de Recursos Vinculados União Saúde,224.11
2022,1,Aportes Periódicos para Amortização de Déficit Atuarial do Regimes Próprios de Previdência e Sistema de Proteção Social - Principal,410282.78
2022,1,Assistência Farmacêutica e Insumos Estratégicos na Atenção Básica em Saúde,40058.54
2022,1,Assistência Financeira Complementar aos Municípios para Agentes de Combate as Endemias,0.0
2022,1,Atenção Básica - Agentes Comunitários de Saúde,91450.0
2022,1,Atenção Básica - Incentivo Financeiro da APS - Capitacão Ponderada,273251.15
2022,1,Atenção Básica - Incentivo Financeiro da ASP - Desempenho,41925.0
2022,1,Atenção Básica - Incentivo para Ações Estratégicas,31633.0
2022,1,Atenção Básica - Programa de Informatização da APS,15300.0
2022,1,Compensações Financeiras entre os Regimes de Previdência - União,124961.76
2022,1,"Concessão, Permissão, Autorização ou Cessão do Direito de Uso de Bens Imóveis Públicos",6609.2
2022,1,Contribuição Patronal - Servidor Civil - Inativo - Principal,0.0
2022,1,Contribuição Patronal - Servidor Civil - Pensionistas - Principal,0.0
2022,1,Contribuição Patronal - Servidor Civil Ativo - Principal,14589.08
2022,1,Contribuição de Melhoria para Pavimentação e Obras Complementares - Principal,0.0
2022,1,Contribuição do Servidor Civil - Pensionistas - Principal,0.0
2022,1,Contribuição do Servidor Civil Ativo - Principal,11135.08
2022,1,Contribuição do Servidor Civil Inativo - Principal,0.0
